Nom,Ticker,PRU,Qté,Seuil_Haut,Date_Achat,ISIN,Seuil_Bas
ENGIE,ENGI.PA,18.25,60.0,25.24,2025-09-24,FR0010208488,
AIR LIQUIDE,AI.PA,161.95,4.0,195.4,2025-11-26,FR0000120073 ,112.62299999999998
TOTALENERGIES,TTE.PA,53.62,20.0,70.0,2025-09-24,FR0000120271,37.534
L'OREAL,OR.PA,371.44,2.0,385.3,2025-12-26,FR0000120321,259.98
BNP PARIBAS ACT.A,BNP.PA,78.88,10.0,87.01,2025-09-24,FR0000131104,
ORANGE,ORA.PA,13.636,45.0,20.0,2025-09-24,FR0000133308,9.5452
SANOFI,SAN.PA,80.12,10.0,102.79,2025-09-24,FR0000120578,
SAINT GOBAIN,SGO.PA,92.64,4.0,105.11,2025-09-24,FR000125007,
Amundi MSCI World Swap UCITS ET,CW8.PA,606.72,1.0,850.0,2025-11-26,LU1681043599,
Amundi PEA S&P 500 Screened UCI,P500H.PA,43.58,12.0,70.0,2025-11-26,FR0013412293,
Amundi PEA Nasdaq-100 UCITS ETF,PUST.PA,87.53,6.0,100.0,2025-11-26,FR0011871110,
Amundi EURO STOXX 50 II UCITS E,MSE.PA,62.85,8.0,100.0,2025-11-26,FR0007054358,
PERNOD,RI.PA,73.0,5.0,87.81600036621093,2026-01-05,RI.PA,58.54400024414063
ABIVAX,ABVX.PA,115.4,2.0,115.4,2026-01-05,ABVX.PA,90.87999877929688
DRONEVOLT,ALDRV.PA,0.65,200.0,0.78,2026-01-08,ALDRV.PA,0.52
AXA,CS.PA,39.85,10.0,47.82,2026-01-12,CS.PA,31.880000000000003
LCL Actions Monde hors Europe,FR0000018756.PA,112.02,2.0,134.42399999999998,2026-01-01,FR0000018756,89.616
